merchant_city,merchant_state,jumlah_transaksi,total_volume,avg_transaksi
Houston,TX,26259,1198404.84,45.637870
Miami,FL,16003,658948.17,41.176540
Brooklyn,NY,14797,478886.58,32.363762
Chicago,IL,13801,501073.23,36.307023
"Los Angeles",CA,13627,449486.36,32.984983
Dallas,TX,12320,453730.46,36.828771
Indianapolis,IN,11289,434140.74,38.456971
Orlando,FL,10803,506726.99,46.906136
"San Antonio",TX,10506,416074.35,39.603498
Albuquerque,NM,10298,289115.45,28.074913
Philadelphia,PA,10011,344763.20,34.438438
Bronx,NY,9847,398137.06,40.432321
Minneapolis,MN,9262,494812.46,53.423932
Tucson,AZ,9259,408059.71,44.071683
Atlanta,GA,9081,539682.02,59.429801
"New York",NY,9054,384759.67,42.496098
"Las Vegas",NV,9052,545630.58,60.277351
"San Francisco",CA,8873,626181.39,70.571553
"North Hollywood",CA,8768,231813.26,26.438556
Oakland,CA,8168,530917.33,64.999673
"San Diego",CA,7538,222904.76,29.570809
"El Paso",TX,7180,198704.00,27.674652
Fayetteville,NC,6955,159117.05,22.878081
Memphis,TN,6873,539179.86,78.448983
Olympia,WA,6743,103625.74,15.367899
Seattle,WA,6606,235613.68,35.666618
Cleveland,OH,6507,225808.32,34.702370
"Yorba Linda",CA,6423,368053.92,57.302494
Sacramento,CA,6081,317634.54,52.233932
Louisville,KY,5997,307590.11,51.290664
Detroit,MI,5694,153073.61,26.883318
Aurora,CO,5625,181009.40,32.179449
Tacoma,WA,5540,190436.64,34.374845
Charlotte,NC,5506,347071.52,63.035147
"Chula Vista",CA,5484,149497.67,27.260698
Columbus,OH,5381,163904.65,30.459887
"San Jose",CA,5320,373550.75,70.216306
Mobile,AL,5294,170793.14,32.261643
Gainesville,FL,5232,182021.95,34.790128
Columbia,SC,5191,111114.00,21.405124
Fresno,CA,5165,182321.05,35.299332
Alpharetta,GA,5129,153085.37,29.847021
Vacaville,CA,5000,157807.28,31.561456
"Pompano Beach",FL,4881,194729.19,39.895347
Wichita,KS,4879,145114.20,29.742611
"Saint Louis",MO,4869,189095.11,38.836539
"Bowling Green",KY,4774,218245.92,45.715526
Durham,NC,4731,201524.68,42.596635
Farmington,MN,4625,135977.48,29.400536
Acworth,GA,4520,112316.26,24.848730
"Oklahoma City",OK,4519,175007.31,38.726999
Garland,TX,4509,277358.78,61.512260
Tampa,FL,4430,166890.98,37.672907
Nashport,OH,4302,74271.51,17.264414
Sarasota,FL,4131,157721.43,38.179964
"Federal Way",WA,4110,171502.11,41.728007
Buffalo,NY,4058,135310.01,33.344014
Omaha,NE,3979,149608.68,37.599568
Belleville,IL,3964,271115.29,68.394372
Marietta,GA,3953,181866.36,46.007174
"Fort Lauderdale",FL,3910,148439.86,37.964159
Greenville,SC,3902,132484.97,33.953093
Waianae,HI,3855,244738.50,63.485992
Oceanside,CA,3839,121227.19,31.577804
"Merritt Island",FL,3833,173770.95,45.335494
Austin,TX,3777,152475.53,40.369481
"Cedar Rapids",IA,3746,100499.97,26.828609
"Fort Worth",TX,3711,199609.58,53.788623
Bradenton,FL,3684,123648.42,33.563632
"Sioux Falls",SD,3659,111715.65,30.531744
Jacksonville,FL,3623,263156.84,72.635065
Lubbock,TX,3597,120230.16,33.425121
Novi,MI,3559,125477.99,35.256530
Montgomery,AL,3554,143375.09,40.341894
Batesville,MS,3545,47577.91,13.421131
"Elk Grove",CA,3523,145964.15,41.431777
Birmingham,AL,3512,107493.09,30.607372
Newport,RI,3500,135441.06,38.697446
Tulsa,OK,3465,166126.77,47.944234
"Colorado Springs",CO,3450,97759.67,28.336136
Paragould,AR,3443,51315.39,14.904267
Watsonville,CA,3441,86241.16,25.062819
"Berkeley Heights",NJ,3404,106519.28,31.292385
Rochester,MN,3331,117429.20,35.253437
"Grand Rapids",MI,3313,131263.39,39.620703
Fontana,CA,3304,95520.55,28.910578
Pittsburgh,PA,3303,134936.34,40.852661
Riverside,CA,3290,142735.36,43.384608
"Crown Point",IN,3289,168054.71,51.095990
"Corpus Christi",TX,3286,108914.41,33.144982
Richmond,VA,3285,171937.52,52.340189
"Walnut Creek",CA,3259,161446.88,49.538779
Medford,OR,3244,122311.63,37.703955
Alhambra,CA,3223,51334.70,15.927614
Stamford,CT,3188,127518.59,39.999558
Richmond,CA,3158,94120.70,29.803895
Waukegan,IL,3153,71761.94,22.759892
Bothell,WA,3140,110393.61,35.157201
Mesa,AZ,3138,139511.68,44.458789
Phoenix,AZ,3089,155320.19,50.281706
Dearborn,MI,3058,53170.50,17.387345
Hollywood,FL,3057,115505.62,37.783978
Maywood,IL,3055,123908.81,40.559349
Boulder,CO,3038,180617.15,59.452650
"Santa Barbara",CA,3023,141314.90,46.746576
Syracuse,NY,2989,125179.24,41.879973
Defiance,OH,2985,87718.78,29.386526
Annandale,VA,2914,114190.21,39.186757
"Ewa Beach",HI,2892,62618.40,21.652282
Chandler,AZ,2891,150109.15,51.922916
"Myrtle Beach",SC,2862,128018.84,44.730552
"Round Lake",IL,2851,76056.43,26.677106
"Silver Spring",MD,2840,145214.65,51.131919
Meridian,MS,2834,35524.78,12.535208
"Palm Bay",FL,2824,82671.00,29.274433
"Lincoln Park",MI,2812,204356.04,72.672845
Monroe,NY,2787,162419.61,58.277578
Brownsville,TX,2787,85626.26,30.723452
Hamilton,OH,2784,56724.06,20.375022
Milwaukee,WI,2772,115291.25,41.591360
Charleston,SC,2760,105524.90,38.233659
Shreveport,LA,2750,184906.65,67.238782
"Chicago Heights",IL,2735,104460.85,38.194095
Canton,MI,2707,110371.16,40.772501
Roseville,CA,2705,94277.28,34.852969
Hendersonville,NC,2702,97468.92,36.072879
Rockford,IL,2673,115031.36,43.034553
Beaverton,OR,2661,63328.27,23.798673
Revere,MA,2617,116751.36,44.612671
Vancouver,WA,2583,83020.68,32.141185
"Clinton Township",MI,2579,88706.82,34.395820
Wauconda,IL,2553,81704.58,32.003361
Scottsdale,AZ,2548,105078.43,41.239572
Clinton,TN,2545,69863.14,27.451136
Nashville,TN,2532,72567.14,28.660008
"Panama City",FL,2525,78274.83,30.999933
Burke,VA,2508,127297.99,50.756774
"New Braunfels",TX,2496,92684.76,37.133317
Bessemer,AL,2481,83558.81,33.679488
Duluth,MN,2458,86370.34,35.138462
Washington,DC,2451,112217.45,45.784353
"Ann Arbor",MI,2450,66346.82,27.080335
"Lake Havasu City",AZ,2450,71109.14,29.024139
"Grand Forks",ND,2447,96187.67,39.308406
Abbeville,LA,2440,41665.50,17.076025
Hawarden,IA,2432,40725.62,16.745732
Carrollton,TX,2387,130368.69,54.616125
"Mira Loma",CA,2383,77349.51,32.458880
Chattanooga,TN,2380,82470.87,34.651626
"Virginia Beach",VA,2378,147115.08,61.865046
"Little Rock",AR,2375,50628.11,21.317099
Mcalester,OK,2372,30015.57,12.654119
"Orchard Park",NY,2372,102670.04,43.284165
Franklin,TN,2347,92943.37,39.600925
"Green Bay",WI,2316,68817.41,29.713908
Gaithersburg,MD,2315,95695.23,41.337032
Granville,IA,2307,38913.34,16.867508
"Rancho Cucamonga",CA,2300,83297.20,36.216174
Albany,NY,2296,122060.48,53.162230
Barnhart,MO,2294,56673.55,24.705122
"Johnson City",TN,2280,114251.31,50.110224
Inglewood,CA,2272,79648.55,35.056580
Pensacola,FL,2257,75528.14,33.463952
"Mount Vernon",NY,2242,131709.39,58.746383
Henrico,VA,2242,102364.07,45.657480
Concord,NC,2241,82708.41,36.906921
Bakersfield,CA,2231,94576.76,42.392093
Mission,TX,2231,82720.72,37.077866
Kissimmee,FL,2228,122896.80,55.160144
Glendale,CA,2206,37378.59,16.944057
Carthage,NY,2191,42565.62,19.427485
Hickory,NC,2181,88375.22,40.520504
"San Rafael",CA,2169,94091.70,43.380221
Jackson,MS,2167,57752.12,26.650725
Boston,MA,2155,135018.31,62.653508
"Williston Park",NY,2152,98963.62,45.986812
Alvin,TX,2134,65649.27,30.763482
Monroe,MI,2130,51995.03,24.410812
Lexington,KY,2125,97148.36,45.716875
"Round Rock",TX,2119,84964.38,40.096451
Holly,MI,2118,79340.61,37.460156
Norwalk,CT,2114,98346.12,46.521343
Clovis,NM,2106,78088.55,37.079084
Louisville,OH,2102,39791.14,18.930133
Ukiah,CA,2099,51995.23,24.771429
"Palm Coast",FL,2098,97226.14,46.342297
Waco,TX,2092,54827.32,26.208088
"College Park",MD,2083,92998.52,44.646433
Stuart,FL,2079,76491.14,36.792275
"Cherry Hill",NJ,2076,146893.97,70.758174
Lakeside,CA,2071,69480.27,33.549141
