merchant_city,merchant_state,jumlah_transaksi,total_volume
Houston,TX,26259,1198404.84
Miami,FL,16003,658948.17
Brooklyn,NY,14797,478886.58
Chicago,IL,13801,501073.23
"Los Angeles",CA,13627,449486.36
Dallas,TX,12320,453730.46
Indianapolis,IN,11289,434140.74
Orlando,FL,10803,506726.99
"San Antonio",TX,10506,416074.35
Albuquerque,NM,10298,289115.45
Philadelphia,PA,10011,344763.20
Bronx,NY,9847,398137.06
Minneapolis,MN,9262,494812.46
Tucson,AZ,9259,408059.71
Atlanta,GA,9081,539682.02
"New York",NY,9054,384759.67
"Las Vegas",NV,9052,545630.58
"San Francisco",CA,8873,626181.39
"North Hollywood",CA,8768,231813.26
Oakland,CA,8168,530917.33
"San Diego",CA,7538,222904.76
"El Paso",TX,7180,198704.00
Fayetteville,NC,6955,159117.05
Memphis,TN,6873,539179.86
Olympia,WA,6743,103625.74
Seattle,WA,6606,235613.68
Cleveland,OH,6507,225808.32
"Yorba Linda",CA,6423,368053.92
Sacramento,CA,6081,317634.54
Louisville,KY,5997,307590.11
Detroit,MI,5694,153073.61
Aurora,CO,5625,181009.40
Tacoma,WA,5540,190436.64
Charlotte,NC,5506,347071.52
"Chula Vista",CA,5484,149497.67
Columbus,OH,5381,163904.65
"San Jose",CA,5320,373550.75
Mobile,AL,5294,170793.14
Gainesville,FL,5232,182021.95
Columbia,SC,5191,111114.00
Fresno,CA,5165,182321.05
Alpharetta,GA,5129,153085.37
Vacaville,CA,5000,157807.28
"Pompano Beach",FL,4881,194729.19
Wichita,KS,4879,145114.20
"Saint Louis",MO,4869,189095.11
"Bowling Green",KY,4774,218245.92
Durham,NC,4731,201524.68
Farmington,MN,4625,135977.48
Acworth,GA,4520,112316.26
"Oklahoma City",OK,4519,175007.31
Garland,TX,4509,277358.78
Tampa,FL,4430,166890.98
Nashport,OH,4302,74271.51
Sarasota,FL,4131,157721.43
"Federal Way",WA,4110,171502.11
Buffalo,NY,4058,135310.01
Omaha,NE,3979,149608.68
Belleville,IL,3964,271115.29
Marietta,GA,3953,181866.36
"Fort Lauderdale",FL,3910,148439.86
Greenville,SC,3902,132484.97
Waianae,HI,3855,244738.50
Oceanside,CA,3839,121227.19
"Merritt Island",FL,3833,173770.95
Austin,TX,3777,152475.53
"Cedar Rapids",IA,3746,100499.97
"Fort Worth",TX,3711,199609.58
Bradenton,FL,3684,123648.42
"Sioux Falls",SD,3659,111715.65
Jacksonville,FL,3623,263156.84
Lubbock,TX,3597,120230.16
Novi,MI,3559,125477.99
Montgomery,AL,3554,143375.09
Batesville,MS,3545,47577.91
"Elk Grove",CA,3523,145964.15
Birmingham,AL,3512,107493.09
Newport,RI,3500,135441.06
Tulsa,OK,3465,166126.77
"Colorado Springs",CO,3450,97759.67
Paragould,AR,3443,51315.39
Watsonville,CA,3441,86241.16
"Berkeley Heights",NJ,3404,106519.28
Rochester,MN,3331,117429.20
"Grand Rapids",MI,3313,131263.39
Fontana,CA,3304,95520.55
Pittsburgh,PA,3303,134936.34
Riverside,CA,3290,142735.36
"Crown Point",IN,3289,168054.71
"Corpus Christi",TX,3286,108914.41
Richmond,VA,3285,171937.52
"Walnut Creek",CA,3259,161446.88
Medford,OR,3244,122311.63
Alhambra,CA,3223,51334.70
Stamford,CT,3188,127518.59
Richmond,CA,3158,94120.70
Waukegan,IL,3153,71761.94
Bothell,WA,3140,110393.61
Mesa,AZ,3138,139511.68
Phoenix,AZ,3089,155320.19
Dearborn,MI,3058,53170.50
Hollywood,FL,3057,115505.62
Maywood,IL,3055,123908.81
Boulder,CO,3038,180617.15
"Santa Barbara",CA,3023,141314.90
Syracuse,NY,2989,125179.24
Defiance,OH,2985,87718.78
Annandale,VA,2914,114190.21
"Ewa Beach",HI,2892,62618.40
Chandler,AZ,2891,150109.15
"Myrtle Beach",SC,2862,128018.84
"Round Lake",IL,2851,76056.43
"Silver Spring",MD,2840,145214.65
Meridian,MS,2834,35524.78
"Palm Bay",FL,2824,82671.00
"Lincoln Park",MI,2812,204356.04
